Max Flow from 340 to 995: 126051
1 -> 284 | Flow: 111
1 -> 795 | Flow: 46
1 -> 739 | Flow: 11
1 -> 995 | Flow: 108
2 -> 995 | Flow: 62
2 -> 225 | Flow: 25
3 -> 254 | Flow: 93
3 -> 488 | Flow: 3
4 -> 995 | Flow: 122
4 -> 110 | Flow: 74
4 -> 831 | Flow: 14
4 -> 842 | Flow: 39
5 -> 995 | Flow: 150
6 -> 995 | Flow: 120
7 -> 446 | Flow: 37
7 -> 787 | Flow: 43
7 -> 995 | Flow: 186
8 -> 995 | Flow: 74
9 -> 276 | Flow: 30
9 -> 619 | Flow: 49
9 -> 219 | Flow: 18
9 -> 995 | Flow: 83
10 -> 664 | Flow: 6
10 -> 795 | Flow: 8
10 -> 739 | Flow: 25
10 -> 580 | Flow: 7
10 -> 964 | Flow: 94
10 -> 995 | Flow: 152
11 -> 995 | Flow: 54
11 -> 234 | Flow: 54
12 -> 334 | Flow: 25
12 -> 458 | Flow: 47
12 -> 25 | Flow: 3
13 -> 995 | Flow: 230
14 -> 995 | Flow: 62
15 -> 995 | Flow: 200
16 -> 89 | Flow: 30
16 -> 243 | Flow: 10
16 -> 995 | Flow: 110
17 -> 463 | Flow: 95
17 -> 885 | Flow: 10
17 -> 442 | Flow: 25
17 -> 995 | Flow: 63
18 -> 995 | Flow: 363
19 -> 995 | Flow: 303
20 -> 995 | Flow: 171
21 -> 266 | Flow: 27
21 -> 329 | Flow: 54
21 -> 704 | Flow: 43
21 -> 109 | Flow: 10
21 -> 715 | Flow: 11
21 -> 419 | Flow: 26
21 -> 832 | Flow: 2
21 -> 599 | Flow: 56
21 -> 896 | Flow: 4
21 -> 172 | Flow: 41
21 -> 152 | Flow: 4
22 -> 995 | Flow: 446
23 -> 995 | Flow: 55
24 -> 995 | Flow: 138
25 -> 995 | Flow: 113
26 -> 995 | Flow: 305
27 -> 700 | Flow: 15
27 -> 206 | Flow: 94
27 -> 854 | Flow: 32
27 -> 420 | Flow: 17
27 -> 995 | Flow: 83
28 -> 995 | Flow: 61
29 -> 995 | Flow: 55
30 -> 995 | Flow: 200
30 -> 317 | Flow: 40
30 -> 692 | Flow: 3
31 -> 995 | Flow: 118
32 -> 995 | Flow: 322
33 -> 647 | Flow: 33
33 -> 995 | Flow: 94
34 -> 778 | Flow: 11
34 -> 995 | Flow: 111
35 -> 995 | Flow: 319
36 -> 995 | Flow: 315
37 -> 499 | Flow: 16
37 -> 995 | Flow: 84
37 -> 130 | Flow: 31
37 -> 92 | Flow: 61
37 -> 539 | Flow: 48
37 -> 117 | Flow: 37
37 -> 134 | Flow: 94
37 -> 831 | Flow: 10
38 -> 843 | Flow: 61
38 -> 995 | Flow: 35
39 -> 995 | Flow: 178
40 -> 995 | Flow: 182
40 -> 234 | Flow: 78
40 -> 253 | Flow: 27
41 -> 995 | Flow: 14
41 -> 325 | Flow: 32
41 -> 383 | Flow: 27
41 -> 459 | Flow: 70
41 -> 229 | Flow: 31
42 -> 647 | Flow: 29
42 -> 592 | Flow: 66
42 -> 953 | Flow: 19
42 -> 242 | Flow: 21
42 -> 130 | Flow: 19
42 -> 92 | Flow: 10
42 -> 539 | Flow: 30
42 -> 134 | Flow: 13
43 -> 995 | Flow: 150
44 -> 995 | Flow: 185
44 -> 896 | Flow: 52
44 -> 743 | Flow: 31
44 -> 225 | Flow: 137
44 -> 406 | Flow: 13
44 -> 623 | Flow: 29
45 -> 712 | Flow: 12
45 -> 123 | Flow: 81
45 -> 995 | Flow: 86
46 -> 995 | Flow: 213
47 -> 995 | Flow: 29
47 -> 357 | Flow: 75
47 -> 129 | Flow: 24
47 -> 479 | Flow: 24
48 -> 995 | Flow: 55
48 -> 134 | Flow: 20
48 -> 923 | Flow: 27
48 -> 627 | Flow: 55
48 -> 15 | Flow: 10
48 -> 585 | Flow: 7
48 -> 568 | Flow: 8
49 -> 995 | Flow: 204
49 -> 809 | Flow: 69
49 -> 704 | Flow: 49
49 -> 603 | Flow: 6
50 -> 995 | Flow: 196
51 -> 995 | Flow: 184
52 -> 995 | Flow: 171
53 -> 248 | Flow: 57
53 -> 717 | Flow: 111
54 -> 995 | Flow: 165
55 -> 92 | Flow: 23
55 -> 110 | Flow: 37
55 -> 831 | Flow: 39
56 -> 995 | Flow: 119
57 -> 995 | Flow: 164
58 -> 254 | Flow: 41
58 -> 670 | Flow: 4
58 -> 989 | Flow: 47
58 -> 523 | Flow: 88
58 -> 640 | Flow: 8
58 -> 947 | Flow: 26
58 -> 700 | Flow: 101
59 -> 995 | Flow: 27
59 -> 134 | Flow: 14
59 -> 842 | Flow: 27
59 -> 615 | Flow: 103
59 -> 15 | Flow: 22
59 -> 268 | Flow: 61
59 -> 942 | Flow: 26
59 -> 546 | Flow: 25
61 -> 995 | Flow: 62
61 -> 225 | Flow: 4
62 -> 995 | Flow: 108
62 -> 896 | Flow: 22
62 -> 357 | Flow: 47
62 -> 622 | Flow: 69
62 -> 900 | Flow: 38
62 -> 459 | Flow: 5
63 -> 995 | Flow: 181
64 -> 995 | Flow: 327
65 -> 595 | Flow: 155
65 -> 977 | Flow: 29
65 -> 995 | Flow: 111
66 -> 995 | Flow: 119
66 -> 749 | Flow: 33
66 -> 990 | Flow: 79
66 -> 562 | Flow: 72
66 -> 31 | Flow: 50
66 -> 584 | Flow: 8
67 -> 995 | Flow: 218
68 -> 995 | Flow: 163
69 -> 995 | Flow: 337
70 -> 995 | Flow: 335
72 -> 995 | Flow: 83
73 -> 995 | Flow: 193
74 -> 995 | Flow: 26
74 -> 22 | Flow: 24
74 -> 377 | Flow: 10
74 -> 414 | Flow: 30
74 -> 63 | Flow: 26
74 -> 729 | Flow: 69
74 -> 81 | Flow: 31
75 -> 995 | Flow: 137
